,GM02704,GM02706,GM01650,GM01653,GM02640,GM02641,WG2414,WG2415,WG3465,WG3466,GM00042,GM00031,GM01095,GM01096,GM01375,GM01376,WG1657,WG1658,WG1282,WG1283,WG2843,WG2844,GM00289,GM00290,GM01393,GM01392,GM02316,GM02317,GM02456,GM02555,GM03073,GM03075,GM02147,GM02149,GM00940,GM00941,WG2193,WG2194,WG2120,WG2121,WG1309,WG1310,WG1977,WG1978,WG1513,WG1514,WG1721,WG1722,GM00520,GM00935,GM00016,GM00022,GM00439,WG2275,WG2276,WG1984,WG1983
ILMN_1651209,7.891584069,7.647950979,7.454989304,7.564092951,7.71723122,7.709297355,7.634634108,7.499263025,7.516985224,7.646810215,7.820823181,7.734488144,7.687260115,7.615987803,7.757209261,7.771169186,7.555116228,7.669945056,7.672094944,7.644859384,7.65996835,7.557512725,7.760130539,7.736227209,7.633071814,7.741888046,7.793998749,7.660050819,7.773751581,7.66656318,7.745935878,7.580591786,7.620510675,7.674244786,7.628430129,7.841284434,7.622960479,7.540233139,7.702792976,7.54545822,7.728054634,7.62288463,7.514556277,7.664677216,7.7339872,7.667381932,7.664049697,7.702419369,7.670465635,7.629672965,7.776764556,7.698662759,7.508159549,7.759552131,7.722069263,7.721747103,7.721351652
ILMN_1651229,9.09843833,9.030152538,9.006946134,9.171743722,8.960058731,9.182617561,9.071359955,9.086161588,9.111545929,9.228578216,9.103899009,8.992524077,9.230403738,9.214709358,9.094444031,9.102394258,9.171532311,8.886948561,9.02475317,9.179692053,9.012508813,9.160689337,8.900822773,8.869024393,9.059815539,8.938017136,9.095324689,9.058207188,8.840297197,9.087298985,8.982881739,9.074377477,8.980034396,8.936170445,9.055412994,9.097721605,9.044935113,9.115220429,9.078741886,9.246622785,9.26296648,9.224547437,9.355552522,8.927356796,9.198790397,8.831745774,9.069732594,8.875387825,9.104979497,9.037091684,8.979727751,9.167968821,9.000939475,8.941602389,8.87570305,8.955331407,8.981836288
ILMN_1651278,9.104673224,9.326646446,9.53587232,9.311745672,9.106863743,9.384380073,9.366013897,9.585570765,9.298097235,9.342607551,9.33920997,9.368870397,9.324092551,9.283884089,9.301696138,9.560400758,9.27183892,9.342849252,9.512739493,9.336009531,9.380379718,9.242296986,9.114608507,9.296941622,9.260868284,9.371739066,9.108067615,9.311795084,9.164837417,9.266145842,9.405315332,9.406524553,9.227821091,9.30197528,9.386044775,9.440233071,9.316078543,9.300073558,9.278157285,9.128643132,9.114695,9.070446103,9.661077431,9.479344023,9.139201909,9.442869297,9.070051675,9.238877519,9.31342705,9.209872188,9.374451778,9.318789452,9.075461378,9.138926672,9.123029618,9.595864485,9.234015975
ILMN_1651315,11.66322256,11.17277606,11.13861345,11.50356223,11.65923636,11.4028744,11.47195479,11.73523415,11.54937085,11.23731753,11.99201858,11.92727191,11.58414907,11.7791808,11.75605695,11.86820106,11.48129328,11.62813989,11.33760374,11.1476737,11.60342465,11.69582705,12.02891922,12.31789374,11.62278371,11.49042331,11.68633517,11.3991496,11.76141881,11.62111001,11.19851639,11.46159839,11.48034116,11.75396462,11.88007553,11.39789636,11.23878041,11.26761433,11.48702772,11.42394906,11.47460066,11.18821861,10.53270848,11.52330324,11.53727962,11.95813974,11.53071487,11.63249009,11.9267675,11.82622316,11.5248659,11.58565727,11.5794461,11.29734488,11.95821915,11.28838893,11.26446368
ILMN_1651343,12.21333432,11.83554194,12.64788811,12.88923258,11.68257792,11.26505427,10.42045866,10.22013307,10.98502587,12.80443943,12.83267859,13.12810261,13.30740394,13.12878526,11.54674328,12.40376305,13.76938071,10.86967857,12.30917639,12.91074943,10.93869004,13.09336579,10.42337351,10.11812348,11.63373454,10.06808902,10.90579993,10.79219669,10.21798401,10.7119236,11.38365669,13.20417915,12.43976144,10.84052571,11.75876732,13.12422545,11.16259281,11.69618226,11.11415427,13.50327416,11.30013202,10.15139345,10.0294528,11.52952168,10.48760082,9.663773462,10.75186695,9.025705036,11.14408223,10.38745935,12.37575024,12.610607,11.71199462,10.49508086,11.1327917,12.06805135,12.25695364
ILMN_1651370,7.579508117,7.597454788,7.569919765,7.648639818,7.586168165,7.633078668,7.70280883,7.646102026,7.783978684,7.624131597,7.625245549,7.632690392,7.648187596,7.706702768,7.652225345,7.731409244,7.625913888,7.651097035,7.704311825,7.481906637,7.716295945,7.602778475,7.721913412,7.801797138,7.570555881,7.635165037,7.636822641,7.626829209,7.672255252,7.702416668,7.642062108,7.638618816,7.757681343,7.564068375,7.690366868,7.538305825,7.73811828,7.667821526,7.707861206,7.677907504,7.68680493,7.754275631,7.458691399,7.723701174,7.549162912,7.697343997,7.690735006,7.757630342,7.617641055,7.526434228,7.559645297,7.6225977,7.710453607,7.682401407,7.846976225,7.701040887,7.64735933
ILMN_1651373,7.317903475,7.350960023,7.506470523,7.397135014,7.280063886,7.378793221,7.417007986,7.41215943,7.280741717,7.377357854,7.366698237,7.356767644,7.380961641,7.356862333,7.360718511,7.425624268,7.426414839,7.355018363,7.371419756,7.27438578,7.29880188,7.328605782,7.443248214,7.316911378,7.377477373,7.358385606,7.342295201,7.348624386,7.396475803,7.367696187,7.34046834,7.352008937,7.456282394,7.308710665,7.363643945,7.451361434,7.382514904,7.431378175,7.366589416,7.296106529,7.390609591,7.343423826,7.315287852,7.357127135,7.335450576,7.376507682,7.286038014,7.378989163,7.317268992,7.3346499,7.339199392,7.415418457,7.409744507,7.351242289,7.374686467,7.308967592,7.276276617
ILMN_1651385,9.724208219,9.868920193,9.803186167,9.691412678,9.533621255,9.637638656,9.706945916,9.511662674,9.685711319,9.812270549,9.726048199,9.756198495,9.916316854,9.73585138,9.607255748,9.658428001,9.729305615,9.605354374,9.804863186,9.794708576,9.791280514,9.922512067,9.670707385,9.643488124,9.70359492,9.649371382,9.72083043,9.625785007,9.684964028,9.648358939,9.80779021,9.630141478,9.729590328,9.56325717,9.647248246,9.869471252,9.715265517,9.611377023,9.54546277,9.831549233,9.604204927,9.824981586,9.84942028,9.4766048,9.433329164,9.364754768,9.557965231,9.512866025,9.56438313,9.568874786,9.765331334,9.728980194,9.843462129,9.776228869,9.567113737,9.749082988,9.683061891
ILMN_1651457,7.394024891,7.351595061,7.470266966,7.383822316,7.298269365,7.429146083,7.403682668,7.367272355,7.475544574,7.380060572,7.453690239,7.370608666,7.384849209,7.448830661,7.318580092,7.448968329,7.398975606,7.391989038,7.411344632,7.411248952,7.447716433,7.362895522,7.346199928,7.346937557,7.38471115,7.351975611,7.391375271,7.383037834,7.358553558,7.315857602,7.429986144,7.338824034,7.407432319,7.438954759,7.344708382,7.46948307,7.47971185,7.355625095,7.43080163,7.389244197,7.403314551,7.33772387,7.362098257,7.397573371,7.340809368,7.417108965,7.35410299,7.407083738,7.3823202,7.408388762,7.301044028,7.552639498,7.377996923,7.437756038,7.399909636,7.328169782,7.485455054
ILMN_1651492,7.955689049,8.040811545,8.131715643,7.923689404,7.957301777,8.058169105,7.939155336,7.872004238,7.960946073,7.946713863,8.061733046,8.106314996,8.145985971,7.980792137,7.983677622,7.941741082,7.975021289,7.947236509,7.892034961,7.988569932,8.007373292,8.015109143,8.006062413,7.913425388,7.999937871,7.904051061,7.993137348,7.996987805,7.979062403,8.057630971,8.077606482,8.081996197,8.124667475,8.002877123,7.938333103,8.111788344,7.982958742,8.023834979,8.021608979,8.026388164,7.919512244,7.930342888,8.194954697,7.893622598,7.932215733,8.002424475,7.987299065,8.010670221,8.012443089,7.969028272,8.073726067,7.989983207,7.989893711,7.976540283,7.874918107,7.971870193,8.069187612
