,geneid,chr,left,right,symbol,synonyms
2,ILMN_1651209,1,1646137,1667291,SLC35E2,MGC117254; MGC138494; DKFZp686M0869; MGC126715; MGC104754; KIAA0447
4,ILMN_1651229,1,44185198,44206280,IPO13,KIAA0724; RANBP13; IMP13; KAP13
13,ILMN_1651278,1,37774732,37792490,SNIP1,RP3-423B22.3; dJ423B22.2; FLJ12553
19,ILMN_1651315,19,3523936,3530086,HMG20B,SMARCE1r; FLJ26127; HMGX2; pp8857; PP7706; BRAF35; SOXL; BRAF25
22,ILMN_1651343,15,66381104,66511550,ITGA11,HsT18964
29,ILMN_1651370,1,159395878,159402137,USP21,MGC3394; USP16; USP23
30,ILMN_1651373,1,25471568,25529523,RHD,RhK562-II; RhII; Rh4; RHDel; RH30; rhesus D; RhDCw; RHCED; RH; RHXIII; Rh30a; DIIIc; RHDVA(TT); RHPII; CD240D; RhPI; RHCE
32,ILMN_1651385,1,11962956,11996154,MFN2,HSG; MARF; CPRP1; CMT2A; KIAA0214; CMT2A2
40,ILMN_1651457,19,55965533,55966801,GPR32,
43,ILMN_1651492,1,112810686,112865431,WNT2B,WNT13; XWNT2
52,ILMN_1651538,19,45863650,45888396,NUMBL,NUMB-R; TNRC23; CTG3a; CAG3A; NUMBR; NBL
57,ILMN_1651597,1,11637019,11645971,FBXO44,Fbx44; FBG3; DKFZp781J0852; FBX30; Fbxo6a; MGC14140
59,ILMN_1651604,19,50446390,50500381,MARK4,Nbla00650; FLJ90097; MARKL1; KIAA1860
65,ILMN_1651656,19,48388694,48401766,PSG7,
74,ILMN_1651715,1,183281174,183338363,RNF2,HIPI3; DING; BAP1; BAP-1; RING2; RING1B
83,ILMN_1651792,1,150045173,150070972,RORC,MGC129539; RZRG; NR1F3; RORG; TOR
85,ILMN_1651800,1,110000226,110009647,GSTM4,GSTM4-4; MGC131945; MGC9247; GTM4
86,ILMN_1651817,21,29831125,30234211,GRIK1,GLUR5; EEA3; GLR5; EAA3
89,ILMN_1651828,1,154545376,154604261,CCT3,CCTG; TRIC5; TCP-1-gamma; PIG48; CCT-gamma
92,ILMN_1651848,21,33936576,34184448,ITSN1,SH3P17; MGC134949; MGC134948; SH3D1A; ITSN
93,ILMN_1651850,19,44615692,44618458,RPS16,
94,ILMN_1651872,1,11255866,11277699,UBIAD1,RP4-796F18.1; TERE1
103,ILMN_1651949,1,168088839,168129670,SCYL3,PACE1; RP1-97P20.2; PACE-1
122,ILMN_1652171,1,51199005,51212893,CDKN2C,INK4C; p18-INK4C; p18
129,ILMN_1652237,21,36429133,36440728,CBR3,hCBR3
135,ILMN_1652300,19,37528393,37570411,ZNF507,
142,ILMN_1652366,19,60126869,60126918,NALP7,MGC126470; PYPAF3; NALP7; HYDM; CLR19.4; PAN7; MGC126471; NOD12
143,ILMN_1652369,19,50604712,50619017,ERCC1,UV20; COFS4
148,ILMN_1652381,19,56841539,56841588,LOC653723,
165,ILMN_1652512,21,42178333,42178382,C21orf25,TMEM24L; DKFZp686O198; MGC71445; DKFZP586F0422; C21orf258
170,ILMN_1652578,1,115373938,115378464,TSHB,TSH-BETA
171,ILMN_1652580,19,55579420,55613082,POLD1,CDC2; POLD
177,ILMN_1652677,1,229221558,229242608,FAM89A,RP11-423F24.2; C1orf153; MGC15887
182,ILMN_1652719,15,36030757,36030806,TMCO5,MGC35118; FLJ35807
187,ILMN_1652749,19,47443564,47451093,ERF,PE-2
189,ILMN_1652754,19,48803470,48803519,C19orf37,MGC51082; Zfp428; C19orf37
192,ILMN_1652780,15,49831102,49889634,TMOD2,NTMOD; MGC39481
195,ILMN_1652797,15,90961753,90961802,LOC400451,MGC102891
196,ILMN_1652806,21,26010686,26029855,ATP5J,ATP5A; CF6; F6; ATPM; ATP5
208,ILMN_1652929,1,149641824,149698565,POGZ,SUHW5; MGC71543; KIAA0461; ZNF635
209,ILMN_1652952,1,176330253,176710178,RASAL2,MGC129919; nGAP
212,ILMN_1652992,1,13899322,14024162,PRDM2,RIZ1; MTB-ZF; HUMHOXY1; RIZ2; RIZ
222,ILMN_1653115,19,43997908,44014337,ECH1,HPXEL
226,ILMN_1653146,1,76035155,76151511,MSH4,
227,ILMN_1653158,19,58827122,58832075,DPRX,
229,ILMN_1653163,15,82945253,82967951,ZSCAN2,FLJ20595; ZFP29
242,ILMN_1653282,1,150937464,150938542,LCE2A,LEP9
243,ILMN_1653283,21,26174733,26465003,APP,AD1; ABETA; CTFgamma; APPI; ABPP; CVAP; PN2; AAA
245,ILMN_1653310,19,60844204,60846647,ZNF580,
249,ILMN_1653358,19,5793900,5802485,FUT3,CD174; MGC131739; Les; LE
