,geneid,chr,left,right
4,cg00000165,1,90967262,90967263
9,cg00000363,1,228627416,228627417
10,cg00000622,15,20585888,20585889
12,cg00000714,19,59387490,59387491
18,cg00000905,15,57572598,57572599
21,cg00000957,1,5859840,5859841
27,cg00001349,1,165225063,165225064
28,cg00001364,1,212236999,212237000
29,cg00001446,1,43603628,43603629
30,cg00001510,19,59438757,59438758
31,cg00001534,1,50807453,50807454
33,cg00001583,1,198278409,198278410
34,cg00001593,1,168757058,168757059
44,cg00002028,1,20832597,20832598
45,cg00002033,19,44490321,44490322
46,cg00002080,21,29312288,29312289
60,cg00002593,1,1258656,1258657
62,cg00002646,1,151782126,151782127
64,cg00002719,1,167663330,167663331
67,cg00002808,1,221635323,221635324
69,cg00002810,1,57661295,57661296
70,cg00002837,1,44285945,44285946
76,cg00003187,1,8662568,8662569
77,cg00003202,1,149586136,149586137
78,cg00003287,1,199612772,199612773
80,cg00003305,19,35407485,35407486
81,cg00003345,1,10739086,10739087
82,cg00003513,1,10680023,10680024
84,cg00003578,1,12523116,12523117
88,cg00003818,19,17197525,17197526
89,cg00003858,1,44853187,44853188
92,cg00003969,15,80722388,80722389
97,cg00004072,19,44589855,44589856
102,cg00004121,1,141560523,141560524
105,cg00004209,1,16876854,16876855
107,cg00004257,1,34401762,34401763
110,cg00004533,21,44226892,44226893
113,cg00004667,1,16165333,16165334
131,cg00005164,19,40203362,40203363
152,cg00006198,1,152742930,152742931
154,cg00006397,1,158603323,158603324
157,cg00006626,1,152394086,152394087
160,cg00006867,15,87867810,87867811
164,cg00007036,1,33514676,33514677
168,cg00007221,1,43771607,43771608
171,cg00007269,19,2896106,2896107
173,cg00007324,19,3998803,3998804
174,cg00007326,19,13227046,13227047
177,cg00007466,19,7491086,7491087
181,cg00007800,1,1828378,1828379
183,cg00007898,1,203447250,203447251
185,cg00007987,19,60848242,60848243
186,cg00008004,1,152022743,152022744
187,cg00008033,19,57121792,57121793
188,cg00008036,1,177978714,177978715
192,cg00008446,1,155082398,155082399
201,cg00008647,1,205149523,205149524
206,cg00008737,19,55713012,55713013
208,cg00008810,1,53697351,53697352
210,cg00008823,1,52116815,52116816
211,cg00008839,19,2220146,2220147
214,cg00008971,1,45739512,45739513
219,cg00009167,1,109457956,109457957
222,cg00009292,1,50654669,50654670
235,cg00009834,1,1337534,1337535
237,cg00009916,1,65386407,65386408
240,cg00009944,21,46841660,46841661
248,cg00010445,19,13950630,13950631
249,cg00010654,1,45248705,45248706
252,cg00010742,1,90955577,90955578
263,cg00011203,1,9181653,9181654
273,cg00011513,1,150751010,150751011
275,cg00011578,19,51542272,51542273
278,cg00011717,1,5841049,5841050
294,cg00012317,1,147637598,147637599
296,cg00012362,1,151866111,151866112
297,cg00012386,1,225989135,225989136
301,cg00012522,15,96304956,96304957
306,cg00012698,15,31946059,31946060
317,cg00013349,1,76821968,76821969
318,cg00013369,1,191124217,191124218
320,cg00013409,1,38004567,38004568
331,cg00013733,19,1374273,1374274
334,cg00013899,1,64765021,64765022
335,cg00013993,19,7439810,7439811
339,cg00014118,1,1925421,1925422
